Configuración,Valor Predeterminado,Enlace
Tamaño máximo de archivo del registro de aplicaciones en KB,32768,https://go.microsoft.com/fwlink/?linkid=2067125
Tamaño máximo de archivo del registro del sistema en KB,32768,https://go.microsoft.com/fwlink/?linkid=2066798
Tamaño máximo de archivo del registro de seguridad en KB,196608,https://go.microsoft.com/fwlink/?linkid=2067042
Bloquear contenido destacado de Windows,Sí,https://go.microsoft.com/fwlink/?linkid=2067037
Bloquear sugerencias de terceros en Contenido destacado de Windows,no configurado,https://go.microsoft.com/fwlink/?linkid=2067045
Bloquear características específicas del consumidor,no configurado,https://go.microsoft.com/fwlink/?linkid=2067054
Cargar XML,se proporciona xml de ejemplo,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-exploitguard#exploitguard-exploitprotectionsettings
Bloquear la prevención de ejecución de datos,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067043
Bloquear la terminación del montón en caso de daños,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067107
Dominio de perfil de firewall,Configurar,https://go.microsoft.com/fwlink/?linkid=2066796
Conexiones entrantes bloqueadas,Sí,https://go.microsoft.com/fwlink/?linkid=872564
Conexiones salientes necesarias,Sí,https://aka.ms/intune-firewall-outboundaction
Notificaciones entrantes bloqueadas,Sí,https://go.microsoft.com/fwlink/?linkid=872563
Firewall habilitado,permitido,https://go.microsoft.com/fwlink/?linkid=872558
Perfil de firewall privado,Configurar,https://go.microsoft.com/fwlink/?linkid=2067041
Conexiones entrantes bloqueadas,Sí,https://go.microsoft.com/fwlink/?linkid=872564
Conexiones salientes necesarias,Sí,https://aka.ms/intune-firewall-outboundaction
Notificaciones entrantes bloqueadas,Sí,https://go.microsoft.com/fwlink/?linkid=872563
Firewall habilitado,permitido,https://go.microsoft.com/fwlink/?linkid=872558
Perfil de firewall público,Configurar,https://learn.microsoft.com/es-es/openspecs/windows_protocols/ms-fasp/7704e238-174d-4a5e-b809-5f3787dd8acc
Conexiones entrantes bloqueadas,Sí,https://go.microsoft.com/fwlink/?linkid=872564
Conexiones salientes necesarias,Sí,https://aka.ms/intune-firewall-outboundaction
Notificaciones entrantes bloqueadas,Sí,https://go.microsoft.com/fwlink/?linkid=872563
Firewall habilitado,permitido,https://go.microsoft.com/fwlink/?linkid=872558
Reglas de seguridad de conexión de la directiva de grupo no combinadas,Sí,https://go.microsoft.com/fwlink/?linkid=872568
Reglas de directiva de la directiva de grupo no combinadas,Sí,https://go.microsoft.com/fwlink/?linkid=872567
Compatibilidad con el cifrado de Internet Explorer,TLS v1.1,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#disableencryptionsupport
Internet Explorer evita la administración del filtro de pantalla inteligente,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowsmartscreenie
Script de zona restringida de Internet Explorer Controles Active X marcados como seguros para scripting,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneinitializeandscriptactivexcontrols
Descargas de archivos de zona restringida de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowfiledownloads
Advertencia de error de coincidencia de direcciones de certificado de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#allowcertificateaddressmismatchwarning
Modo protegido mejorado de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#allowenhancedprotectedmode
Reserva de Internet Explorer a SSL3,no hay sitios,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#allowfallbacktossl3
Software de Internet Explorer cuando la firma no es válida,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#allowsoftwarewhensignatureisinvalid
Internet Explorer comprueba la revocación de certificados de servidor,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#checkservercertificaterevocation
Internet Explorer comprueba las firmas en los programas descargados,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#checksignaturesondownloadedprograms
Internet Explorer procesa un control MIME coherente,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#consistentmimehandlinginternetexplorerprocesses
Internet Explorer omite las advertencias de pantalla inteligente,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#disablebypassofsmartscreenwarnings
Internet Explorer omite advertencias de pantalla inteligente sobre archivos poco comunes,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#disablebypassofsmartscreenwarningsaboutuncommonfiles
Detección de bloqueos de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#disablecrashdetection
Descarga de contenedores de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#disableenclosuredownloading
Internet Explorer omite los errores de certificado,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#disableignoringcertificateerrors
Internet Explorer deshabilita los procesos en modo protegido mejorado,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#disableprocessesinenhancedprotectedmode
Comprobación de la configuración de seguridad de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#disablesecuritysettingscheck
Controles Active X de Internet Explorer en modo protegido,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#donotallowactivexcontrolsinprotectedmode
Usuarios de Internet Explorer que agregan sitios,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#donotallowuserstoaddsites
Directivas de cambio de usuarios de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#donotallowuserstochangepolicies
Internet Explorer bloquea controles Active X obsoletos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#donotblockoutdatedactivexcontrols
Internet Explorer incluye todas las rutas de acceso de red,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#includeallnetworkpaths
Acceso de zona de Internet de Internet Explorer a orígenes de datos,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowaccesstodatasources
Internet Explorer internet zone automatic prompt for file downloads (Solicitud automática de la zona de Internet de Internet Explorer para descargas de archivos,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowautomaticpromptingforfiledownloads
Internet Explorer internet zone copy and paste via script (Copiar y pegar la zona de Internet de Internet Explorer mediante script,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowcopypasteviascript
Arrastre y coloque o copie y pegue archivos en la zona de Internet de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowdraganddropcopyandpastefiles
Sitios con menos privilegios de la zona de Internet de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowlessprivilegedsites
Carga de archivos XAML en la zona de Internet de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowloadingofxamlfiles
Componentes dependientes de .NET Framework de la zona de Internet de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallownetframeworkreliantcomponents
La zona de Internet de Internet Explorer permite que solo los dominios aprobados usen controles ActiveX,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowonlyapproveddomainstouseactivexcontrols
La zona de Internet de Internet Explorer solo permite que los dominios aprobados usen controles ActiveX de tdc,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowonlyapproveddomainstousetdcactivexcontrol
Scripting de zona de Internet de Internet Explorer de controles de explorador web,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowscriptingofinternetexplorerwebbrowsercontrols
Ventanas iniciadas por script de zona de Internet de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowscriptinitiatedwindows
Scripts de zona de Internet de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowscriptlets
Pantalla inteligente de la zona de Internet de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowsmartscreenie
Internet Explorer internet zone updates to status bar via script (Actualizaciones de la zona de Internet de Internet Explorer en la barra de estado mediante script,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowupdatestostatusbarviascript
Persistencia de los datos de usuario de la zona de Internet de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowuserdatapersistence
La zona de Internet de Internet de Internet Explorer permite que VBscript se ejecute,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneallowvbscripttorunininternetexplorer
La zona de Internet de Internet Explorer no ejecuta antimalware en los controles ActiveX,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzonedonotrunantimalwareagainstactivexcontrols
Internet Explorer internet zone download signed ActiveX controls (Descarga de controles ActiveX firmados en la zona internet de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzonedownloadsignedactivexcontrols
Internet Explorer internet zone download unsigned ActiveX controls,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzonedownloadunsignedactivexcontrols
Filtro de scripting entre sitios de la zona de Internet de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneenablecrosssitescriptingfilter
"En la zona de Internet de Internet Explorer, arrastre el contenido desde distintos dominios a través de las ventanas",deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneenabledraggingofcontentfromdifferentdomainsacrosswindows
Internet Explorer internet zone drag content from different domains within windows (Arrastrar contenido de la zona de Internet de Internet Explorer desde distintos dominios dentro de Windows,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneenabledraggingofcontentfromdifferentdomainswithinwindows
Modo protegido de zona de Internet de Internet Explorer,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneenableprotectedmode
La zona de Internet de Internet de Internet Explorer incluye la ruta de acceso local al cargar archivos en el servidor,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneincludelocalpathwhenuploadingfilestoserver
Internet Explorer internet zone initialize and script Active X controls not marked as safe,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneinitializeandscriptactivexcontrols
Permisos de Java de la zona de Internet de Internet Explorer,deshabilitar java,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzonejavapermissions
Internet Explorer Internet Zone inicia aplicaciones y archivos en un iframe,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzonelaunchingapplicationsandfilesiniframe
Opciones de inicio de sesión de la zona de Internet de Internet Explorer,preguntar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzonelogonoptions
La zona de Internet de Internet Explorer navega por ventanas y marcos en distintos dominios,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzonenavigatewindowsandframes
Internet Explorer internet zone run .NET Framework reliant components signed with Authenticode,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzonerunnetframeworkreliantcomponentssignedwithauthenticode
Advertencia de seguridad de la zona de Internet de Internet Explorer para archivos potencialmente no seguros,preguntar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneshowsecuritywarningforpotentiallyunsafefiles
Bloqueador de elementos emergentes de la zona de Internet de Internet Explorer,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#internetzoneusepopupblocker
La zona de intranet de Internet Explorer no ejecuta antimalware en los controles Active X,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#intranetzonedonotrunantimalwareagainstactivexcontrols
La zona de intranet de Internet Explorer inicializa y crea scripts de controles Active X no marcados como seguros,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#intranetzoneinitializeandscriptactivexcontrols
Permisos de Java de la zona de intranet de Internet Explorer,alta seguridad,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#intranetzonejavapermissions
La zona de máquina local de Internet Explorer no ejecuta antimalware en los controles Active X,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#localmachinezonedonotrunantimalwareagainstactivexcontrols
Permisos de Java de la zona de máquina local de Internet Explorer,deshabilitar java,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#localmachinezonejavapermissions
Internet Explorer bloqueó la pantalla inteligente de la zona de Internet,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#lockeddowninternetzoneallowsmartscreenie
Internet Explorer bloqueó los permisos de Java de zona de intranet,deshabilitar java,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#lockeddownintranetjavapermissions
Internet Explorer bloqueó los permisos de Java de la zona de máquina local,deshabilitar java,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#lockeddownlocalmachinezonejavapermissions
Internet Explorer bloqueó la pantalla inteligente de zona restringida,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#lockeddownrestrictedsiteszoneallowsmartscreenie
Internet Explorer bloqueó los permisos de Java de zona restringida,Deshabilitar Java,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#lockeddownrestrictedsiteszonejavapermissions
Internet Explorer bloqueó los permisos java de la zona de confianza,deshabilitar java,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#lockeddowntrustedsiteszonejavapermissions
Internet Explorer procesa la característica de seguridad de examen MIME,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#mimesniffingsafetyfeatureinternetexplorerprocesses
Internet Explorer procesa la restricción de seguridad del protocolo MK,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#mkprotocolsecurityrestrictioninternetexplorerprocesses
Internet Explorer procesa la barra de notificaciones,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#notificationbarinternetexplorerprocesses
Internet Explorer impide la instalación por usuario de controles Active X,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#preventperuserinstallationofactivexcontrols
Internet Explorer procesa la protección contra la elevación de zona,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#protectionfromzoneelevationinternetexplorerprocesses
Botón Quitar ejecución de Internet Explorer para controles Active X obsoletos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#removerunthistimebuttonforoutdatedactivexcontrols
Los procesos de Internet Explorer restringen la instalación de Active X,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictactivexinstallinternetexplorerprocesses
Acceso de zona restringida de Internet Explorer a orígenes de datos,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowaccesstodatasources
Scripting activo de zona restringida de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowactivescripting
Solicitud automática de la zona restringida de Internet Explorer para descargas de archivos,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowautomaticpromptingforfiledownloads
Comportamientos binarios y de script de la zona restringida de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowbinaryandscriptbehaviors
Copia y pegado de zona restringida de Internet Explorer mediante script,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowcopypasteviascript
Arrastre y coloque o copie y pegue archivos en la zona restringida de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowdraganddropcopyandpastefiles
Sitios con menos privilegios de la zona restringida de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowlessprivilegedsites
Carga de archivos XAML en la zona restringida de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowloadingofxamlfiles
Actualización de meta de zona restringida de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowmetarefresh
Componentes dependientes de .NET Framework de zona restringida de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallownetframeworkreliantcomponents
La zona restringida de Internet Explorer solo permite que los dominios aprobados usen controles Active X,habilitado,https://go.microsoft.com/fwlink/?linkid=2067233
La zona restringida de Internet Explorer solo permite que los dominios aprobados usen controles Active X de tdc,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowonlyapproveddomainstousetdcactivexcontrol
Scripting de zona restringida de Internet Explorer de controles de explorador web,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowscriptingofinternetexplorerwebbrowsercontrols
Ventanas iniciadas por el script de zona restringida de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowscriptinitiatedwindows
Scripts de zona restringida de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowscriptlets
Pantalla inteligente de zona restringida de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowsmartscreenie
Internet Explorer restricted zone updates to status bar via script (Actualizaciones de zona restringida de Internet Explorer a la barra de estado mediante script,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowupdatestostatusbarviascript
Persistencia de datos de usuario de la zona restringida de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowuserdatapersistence
La zona restringida de Internet Explorer permite que vbscript se ejecute,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneallowvbscripttorunininternetexplorer
La zona restringida de Internet Explorer no ejecuta antimalware en los controles Active X,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszonedonotrunantimalwareagainstactivexcontrols
Descarga de controles Active X firmados en la zona restringida de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszonedownloadsignedactivexcontrols
Internet Explorer restricted zone download unsigned Active X controls (Descarga de controles Active X sin signo en la zona restringida de Internet Explorer,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszonedownloadunsignedactivexcontrols
Filtro de scripting entre sitios de zona restringida de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneenablecrosssitescriptingfilter
Internet Explorer restricted zone drag content from different domains across windows (Arrastrar contenido de diferentes dominios entre ventanas):,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneenabledraggingofcontentfromdifferentdomainsacrosswindows
Internet Explorer restricted zone drag content from different domains within windows (Arrastrar contenido de la zona restringida de Internet Explorer desde distintos dominios dentro de windows,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneenabledraggingofcontentfromdifferentdomainswithinwindows
La zona restringida de Internet Explorer incluye la ruta de acceso local al cargar archivos en el servidor,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneincludelocalpathwhenuploadingfilestoserver
Internet Explorer restricted zone initialize and script Active X controls not marked as safe (Inicialización de zona restringida de Internet Explorer y script de controles Active X no marcados como seguros,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneinitializeandscriptactivexcontrols
Permisos de Java de zona restringida de Internet Explorer,deshabilitar java,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszonejavapermissions
Inicio de aplicaciones y archivos en una zona restringida de Internet Explorer en un iFrame,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszonelaunchingapplicationsandfilesiniframe
Opciones de inicio de sesión de zona restringida de Internet Explorer,anónimo,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszonelogonoptions
La zona restringida de Internet Explorer navega por ventanas y marcos en distintos dominios,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszonenavigatewindowsandframes
La zona restringida de Internet Explorer ejecuta controles y complementos Active X,deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszonerunactivexcontrolsandplugins
"En la zona restringida de Internet Explorer, ejecute componentes dependientes de .NET Framework firmados con Authenticode",Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszonerunnetframeworkreliantcomponentssignedwithauthenticode
Scripting de zona restringida de Internet Explorer de applets de Java,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszonescriptingofjavaapplets
Advertencia de seguridad de zona restringida de Internet Explorer para archivos potencialmente no seguros,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneshowsecuritywarningforpotentiallyunsafefiles
Modo protegido por zona restringida de Internet Explorer,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneturnonprotectedmode
Bloqueador emergente de zona restringida de Internet Explorer,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictedsiteszoneusepopupblocker
Los procesos de Internet Explorer restringen la descarga de archivos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#restrictfiledownloadinternetexplorerprocesses
Internet Explorer procesa restricciones de seguridad de ventana con scripts,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#scriptedwindowsecurityrestrictionsinternetexplorerprocesses
Las zonas de seguridad de Internet Explorer solo usan la configuración del equipo,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#securityzonesuseonlymachinesettings
Internet Explorer usa el servicio de instalador Active X,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#specifyuseofactivexinstallerservice
La zona de confianza de Internet Explorer no ejecuta antimalware en los controles Active X,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#trustedsiteszonedonotrunantimalwareagainstactivexcontrols
Internet Explorer trusted zone initialize and script Active X controls not marked as safe (Inicialización de la zona de confianza de Internet Explorer y script de controles Active X no marcados como seguros,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#trustedsiteszoneinitializeandscriptactivexcontrols
Permisos de Java de la zona de confianza de Internet Explorer,alta seguridad,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#trustedsiteszonejavapermissions
Finalización automática de Internet Explorer,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer#allowautocomplete
Bloquear el inicio de sesión remoto con contraseña en blanco,Sí,https://go.microsoft.com/fwlink/?linkid=2067219
Minutos de inactividad de la pantalla de bloqueo hasta que se activa el protector de pantalla,15,https://go.microsoft.com/fwlink/?linkid=2067210
Comportamiento de eliminación de tarjeta inteligente,Bloquear estación de trabajo,https://go.microsoft.com/fwlink/?linkid=2067331
Requerir que el cliente firme siempre las comunicaciones de forma digital,Sí,https://go.microsoft.com/fwlink/?linkid=2067187
Impedir que los clientes envíen contraseñas sin cifrar a servidores SMB de terceros,Sí,https://go.microsoft.com/fwlink/?linkid=2067235
servidor firme las comunicaciones de forma digital siempre,Sí,https://go.microsoft.com/fwlink/?linkid=2067319
Impedir la enumeración anónima de cuentas SAM,Sí,https://go.microsoft.com/fwlink/?linkid=2067318
Bloquee la enumeración anónima de cuentas SAM y recursos compartidos,Sí,https://go.microsoft.com/fwlink/?linkid=2067191
Restrinja el acceso anónimo a canalizaciones y recursos compartidos con nombre,Sí,https://go.microsoft.com/fwlink/?linkid=2067212
Permitir llamadas remotas al administrador de cuentas de seguridad,O:BAG:BAD:(A;; RC;;; BA),https://go.microsoft.com/fwlink/?linkid=2067209
Evite almacenar el valor hash del administrador de LAN en el siguiente cambio de contraseña,Sí,https://go.microsoft.com/fwlink/?linkid=2067213
Nivel de autenticación,enviar solo respuesta NTLMv2. Denegar LM y NTLM,https://go.microsoft.com/fwlink/?linkid=2067189
Seguridad de sesión mínima para clientes basados en SSP NTLM,Requerir cifrado NTLM V2 128,https://go.microsoft.com/fwlink/?linkid=2067324
Seguridad de sesión mínima para los servidores basados en NTLM SSP,requerir cifrado NTLM V2 y 128 bits,https://go.microsoft.com/fwlink/?linkid=2067246
Comportamiento del símbolo del sistema de elevación del administrador,solicitar consentimiento en el escritorio seguro,https://go.microsoft.com/fwlink/?linkid=2067215
Comportamiento estándar del símbolo del sistema de elevación del usuario,denegar automáticamente las solicitudes de elevación,https://go.microsoft.com/fwlink/?linkid=2067183
Detección de instalaciones de aplicaciones y petición de elevación,Sí,https://go.microsoft.com/fwlink/?linkid=2067208
Permitir solo aplicaciones de acceso a la interfaz de usuario para ubicaciones seguras,Sí,https://go.microsoft.com/fwlink/?linkid=2067185
Requerir el modo de aprobación de administrador para los administradores,Sí,https://go.microsoft.com/fwlink/?linkid=2067184
